Df: 2.6
kf: 1.13
n: 50
k: 0.7
a: 30

Rg: 128.872

X Y Z
0 0 0
-24.5813 -33.6417 -5.29109
-48.585 -67.7075 -10.5205
-73.1907 -101.12 -17.0132
-44.6337 -128.214 -31.6559
-69.2483 -138.946 0.810257
-94.6888 -129.406 32.838
-64.9497 -152.283 51.7121
-8.61724 -27.7637 -43.6916
-92.0953 -169.973 -15.9026
-44.1647 3.41392 -2.57601
-123.898 -117.049 60.3718
-109.769 -161.553 55.2693
24.9545 -32.1614 -10.3403
38.8403 -56.0511 -41.9704
-62.9122 -192.577 40.0405
-26.8404 -18.783 -80.4511
-103.666 -131.57 94.1915
-70.8982 -155.927 104.042
-119.371 -96.9529 112.052
-141.795 -148.06 88.009
-149.415 -177.812 59.3604
-106.924 -141.017 134.985
-145.489 -65.5876 121.954
33.1736 -16.9206 27.9241
-86.2944 -184.854 130.313
-148.918 -140.401 134.576
13.077 6.96178 56.0269
-182.843 -156.616 90.4272
-91.3539 -141.339 173.991
-145.369 -182.128 137.788
-152.62 -30.2261 143.465
-141.469 -141.487 175.896
-96.644 -195.715 169.542
-180.106 -160.637 154.115
-140.918 -107.04 199.918
-74.8825 -156.41 209.566
-165.134 -73.1773 194.36
-172.647 -211.476 150.381
-152.168 -169.675 205.135
-108.571 -198.513 209.716
-221.588 -167.009 155.749
-40.3323 -148.745 232.183
-44.1655 -189.821 224.306
-91.3519 -162.499 247.719
-50.5825 -27.0693 -42.1315
-160.997 -145.625 238.417
-244.189 -132.399 163.182
-73.7518 -219.051 230.157
-4.21586 -201.709 219.14
