Df: 2.6
kf: 1.13
n: 50
k: 0.7
a: 30

Rg: 128.871

X Y Z
0 0 0
-23.7663 -32.5028 -11.9469
23.59 32.4192 12.5103
48.4829 64.2914 23.8463
-18.113 -30.538 -53.5183
-54.7838 -41.4656 14.9154
0.233804 -11.4527 -86.1242
-32.1097 -67.8984 -66.6444
12.3568 75.0909 5.34556
22.7738 53.2808 55.1802
79.3783 59.3123 -4.16593
-53.046 -34.4691 -81.072
-8.21511 42.7992 81.5207
14.2904 106.239 33.4537
67.8744 100.429 14.7886
82.0515 101.096 -24.7407
54.3995 116.155 51.3279
6.8493 146.268 23.1418
34.141 -35.0372 -93.7448
28.7127 155.23 -11.5809
86.6778 135.588 27.9887
-72.5737 -42.5457 -23.1155
-80.1365 -2.40582 -82.5044
6.94611 -81.7525 -59.8102
82.945 142.706 -30.3808
-10.3649 59.9759 119.787
24.7425 39.2087 129.797
-96.5489 -45.7231 16.1621
32.3679 164.21 -52.4465
2.27904 -61.0384 -102.274
38.0291 174.224 26.345
125.74 127.311 14.9655
-2.84512 184.919 36.412
5.49783 93.8095 138.962
-2.16145 187.423 -58.1835
-47.343 59.7751 139.702
37.1685 192.766 64.0205
92.1587 182.787 -38.9032
132.559 153.517 47.0708
47.0168 199.028 -70.8076
77.5284 203.565 59.7226
51.4417 222.671 -36.3774
-119.385 -11.6277 7.21791
-47.6785 -75.9376 37.8325
-104.966 -34.2949 55.6913
-122.596 -25.5661 -32.2715
-56.2576 21.3087 154.015
72.2451 -51.7844 -99.3666
31.721 107.711 168.679
80.019 -19.9769 -125.67
