Df: 2.6
kf: 1.13
n: 50
k: 0.7
a: 30

Rg: 128.872

X Y Z
0 0 0
-19.6861 -25.7561 -26.7036
-38.6723 -51.4221 -53.9943
-58.4828 -76.0379 -81.6638
-35.9955 -67.8823 -116.186
-40.4641 -0.902143 11.2179
-60.6041 -29.3638 34.634
35.5746 -16.9751 14.5016
31.0885 25.1815 12.7827
-96.2363 -66.2369 -66.0878
-78.2444 -63.5833 51.4223
-84.4109 -53.2111 -105.553
55.6686 12.1455 -18.6797
-40.2208 -108.344 -101.331
34.8524 -24.5734 55.8023
-61.9534 -38.6854 81.0651
10.5894 -6.44311 84.8988
-59.1244 1.14805 94.0764
-29.7759 -22.5854 112.499
43.6219 63.5948 24.2428
-49.6449 -59.1303 118.303
-81.9669 36.013 99.2392
63.2627 50.434 58.9564
-90.9427 -52.0645 121.23
-45.0199 -4.41354 147.16
69.341 38.8649 -48.0589
-97.6317 12.082 129.995
-125.149 -71.4629 106.477
-122.252 -26.4656 132.563
79.5245 60.48 2.67198
-72.2388 31.3145 157.369
-28.2897 -125.121 -64.7227
60.1246 78.4807 -29.9412
-125.587 42.8326 123.918
-43.9689 -150.585 -35.2308
4.43735 -75.5582 -107.804
11.53 -127.246 -77.9089
63.7009 100.445 25.9392
109.825 43.0629 -20.6196
98.7902 71.8879 65.4008
-155.228 -33.0229 107.392
-88.9987 -100.265 -97.3423
-95.4518 66.141 141.599
-41.1975 11.1061 186
-78.2363 102.98 131.086
36.3161 -50.6458 -119.078
-121.283 10.4672 164.665
43.2816 -90.7932 -103.005
-141.693 -60.8901 146.741
126.785 55.249 38.879
